velocidad_bala,distancia_bala1,bala2_y,distancia_bala2,mov_derecha,accion
-7,266,237,0,0,0
-7,259,240,0,0,0
-7,249,243,3,1,2
-7,239,246,6,1,2
-7,229,249,9,1,2
-7,219,252,12,1,2
-7,209,255,15,1,2
-7,199,258,18,1,2
-7,189,261,21,1,2
-7,179,264,24,1,2
-7,169,267,27,1,2
-7,159,270,30,1,2
-7,152,273,30,1,2
-7,145,276,30,1,2
-7,138,279,30,1,2
-7,131,282,30,1,2
-7,124,285,30,1,2
-7,117,288,30,1,2
-7,110,291,30,1,2
-7,103,294,30,1,2
-7,96,297,30,1,2
-7,89,300,30,1,2
-7,82,303,30,1,2
-7,75,306,30,1,3
-7,68,309,30,1,3
-7,61,312,30,1,3
-7,54,315,30,1,3
-7,47,318,30,1,3
-7,40,321,30,1,3
-7,33,324,30,1,3
-7,26,327,30,1,3
-7,19,330,30,1,3
-7,12,333,30,1,3
-7,5,336,30,1,3
-7,2,339,30,1,3
-7,9,342,30,1,3
-7,16,345,30,1,3
-7,23,348,30,1,3
-7,30,351,30,1,3
-7,37,354,30,1,3
-7,44,357,30,1,3
-7,51,360,30,1,3
-7,58,363,30,1,3
-7,65,366,30,1,3
-7,72,369,30,1,3
-7,79,372,30,1,3
-8,670,375,30,1,3
-8,662,378,30,1,3
-8,654,381,30,1,3
-8,646,384,30,1,3
-8,638,387,30,1,3
-8,633,390,27,0,1
-8,628,393,24,0,1
-8,623,396,21,0,0
-8,618,399,18,0,0
-8,613,0,15,0,0
-8,608,3,12,0,0
-8,603,6,9,0,0
-8,598,9,6,0,0
-8,593,12,3,0,0
-8,588,15,0,0,0
-8,580,18,0,0,0
-8,572,21,0,0,0
-8,564,24,0,0,0
-8,556,27,0,0,0
-8,548,30,0,0,0
-8,540,33,0,0,0
-8,532,36,0,0,0
-8,524,39,0,0,0
-8,516,42,0,0,0
-8,508,45,0,0,0
-8,500,48,0,0,0
-8,492,51,0,0,0
-8,484,54,0,0,0
-8,476,57,0,0,0
-8,468,60,0,0,0
-8,460,63,0,0,0
-8,452,66,0,0,0
-8,444,69,0,0,0
-8,436,72,0,0,0
-8,428,75,0,0,0
-8,420,78,0,0,0
-8,412,81,0,0,0
-8,404,84,0,0,0
-8,396,87,0,0,0
-8,388,90,0,0,0
-8,380,93,0,0,0
-8,372,96,0,0,0
-8,364,99,0,0,0
-8,356,102,0,0,0
-8,348,105,0,0,0
-8,340,108,0,0,0
-8,332,111,0,0,0
-8,324,114,0,0,0
-8,316,117,0,0,0
-8,308,120,0,0,0
-8,300,123,0,0,0
-8,292,126,0,0,0
-8,284,129,0,0,0
-8,276,132,0,0,0
-8,268,135,0,0,0
-8,260,138,0,0,0
-8,252,141,0,0,0
-8,244,144,0,0,0
-8,236,147,0,0,0
-8,228,150,0,0,0
-8,220,153,0,0,0
-8,212,156,0,0,0
-8,204,159,0,0,0
-8,196,162,0,0,0
-8,185,165,3,1,2
-8,174,168,6,1,2
-8,163,171,9,1,2
-8,152,174,12,1,2
-8,141,177,15,1,2
-8,130,180,18,1,2
